,pop,energy,duration,lost,dead
120,[  4   4 177   0],4760.743750000001,389,38,191
121,[ 4  9 98  1],1973.1125000000002,310,49,111
122,[  5   7 228   1],2039.2843750000006,441,63,106
123,[  5   3 232   0],5245.775000000001,445,39,183
124,[  5   3 188   1],1038.365625,401,53,140
125,[ 5  9 41  0],5298.228125000002,254,35,133
126,[ 5  1 90  0],3942.475000000001,303,35,194
127,[ 7  3 94  1],482.91562499999975,309,56,139
128,[  5   8 227   1],1559.7218749999997,440,52,113
129,[  7   8 114   0],4936.44375,329,49,111
130,[4 5 9 1],1116.4281250000006,221,63,95
131,[  5   7 228   0],4656.309375000003,441,41,130
132,[  6   3 102   0],6442.359375000002,316,39,213
133,[ 5  1 87  0],5068.512500000002,300,49,191
134,[  4   3 227   0],5352.553125000001,439,43,188
135,[  6   1 146   1],1421.2406250000004,360,44,170
136,[  5   1 108   0],5633.159374999999,321,42,174
137,[ 6  1 43  1],1690.0718750000015,257,53,174
138,[ 6  2 67  1],238.21250000000052,281,60,129
139,[ 5  9 96  0],5836.678125000003,309,38,137
140,[ 4  4 84  0],5723.203125,296,45,210
141,[  4   3 140   0],4814.918750000004,352,42,186
142,[  4   2 219   0],4851.543750000003,431,44,175
143,[  7   7 154   1],1031.3999999999996,369,46,100
144,[  7   3 152   0],4574.425000000001,367,35,187
145,[  6   1 101   0],3936.787500000002,315,32,238
146,[  5   2 168   1],1041.2000000000003,381,45,129
147,[ 4  1 85  0],4554.58125,297,38,174
148,[ 5  6 94  0],5158.484375000002,307,32,155
149,[  7   4 158   1],1182.109375000001,373,48,166
150,[  5   1 234   1],491.4687500000025,447,45,146
151,[7 1 8 1],1234.6468749999997,223,58,146
152,[ 7  4 19  1],90.26562500000105,234,61,166
153,[  4   5 184   1],531.5124999999998,396,56,91
154,[  6   7 152   1],494.22187500000007,366,48,96
155,[  7   4 105   1],68.24687500000017,320,50,142
156,[ 6  8 16  1],3284.5218750000017,230,44,129
157,[7 1 8 0],4249.693750000002,223,42,324
158,[  4   1 118   0],5508.684375000003,330,46,218
159,[ 6  6 82  1],888.0125000000005,296,59,101
160,[  5   9 132   1],1152.7812500000011,345,54,110
161,[  5   2 226   0],5055.131250000005,439,43,179
162,[  5   6 193   0],4045.7968750000005,406,51,126
163,[  6   7 218   0],3200.0593750000007,432,40,128
164,[  4   6 205   0],6885.509375000003,417,47,121
165,[  5   2 110   0],5633.218750000002,323,50,205
166,[  7   5 139   0],3453.524999999999,354,34,99
167,[ 5  6 11  0],6147.268750000003,224,28,124
168,[ 6  3 54  0],5766.51875,268,41,184
169,[  5   3 232   0],4296.7625,445,39,185
170,[  5   6 229   0],3515.9656250000016,442,46,122
171,[  5   6 196   0],5024.531250000002,409,37,121
172,[  5   1 129   0],5578.24375,342,54,191
173,[  5   5 130   0],3463.875,343,69,117
174,[6 1 7 0],3641.684375000001,221,35,191
175,[ 5  8 25  0],3888.3718750000007,238,45,112
176,[ 7  1 51  0],5554.631249999998,266,39,196
177,[ 6  4 10  0],5011.371875000002,224,45,172
178,[  7   7 226   1],1969.0937500000005,441,61,108
179,[ 4  6 90  0],4503.3375000000015,302,36,104
180,[ 7  4 11  0],6408.8,226,39,298
181,[  7   3 209   0],4719.4312500000015,424,42,183
182,[  6   7 161   0],4575.2750000000015,375,45,108
183,[ 6  5 71  0],2334.6375,285,32,116
184,[4 3 9 0],6348.471875000003,221,46,235
185,[  4   5 176   1],1180.5562500000008,388,51,116
186,[  6   7 227   1],1470.7312500000007,441,36,102
187,[  4   9 137   0],5370.725000000002,349,38,139
188,[ 6  3 47  0],5584.681250000002,261,39,262
189,[  5   2 136   0],5226.471875,349,48,180
190,[  5   7 143   0],5194.846875000004,356,37,137
191,[  6   6 167   0],4630.434375000002,381,27,120
192,[6 2 9 0],4538.078125000001,223,39,159
193,[  4   3 186   1],104.64375000000051,398,45,142
194,[ 6  3 19  1],1170.446875000001,233,60,166
195,[ 5  6 11  1],1097.124999999999,224,46,120
196,[  6   9 195   1],758.1218749999991,409,43,87
197,[ 7  8 90  0],3993.3062500000024,305,37,135
198,[  5   9 173   1],1412.1812500000003,386,59,110
199,[4 2 6 0],5068.221875000003,218,47,177
200,[  4   4 203   1],330.353125,415,56,145
201,[4 1 5 0],4594.084375,217,49,216
202,[ 7  1 17  0],4833.193750000001,232,34,191
203,[  6   6 228   1],1252.5281249999985,442,45,96
204,[6 3 9 0],3944.8625000000015,223,48,213
205,[  5   9 154   1],2036.759375000002,367,42,116
206,[  4   3 223   1],1058.3375000000015,435,54,166
207,[ 7  6 13  1],2293.218750000001,228,54,97
208,[  4   1 131   0],4297.6468749999985,343,45,196
209,[5 3 8 0],3538.5875000000033,221,46,189
210,[ 5  1 39  0],5540.003125000002,252,45,212
211,[  6   6 228   0],4199.465625000003,442,47,105
212,[  5   2 115   0],4941.2281250000015,328,48,247
213,[  7   2 182   0],3301.284375,397,40,175
214,[  7   1 109   0],4276.228125,324,50,191
215,[  6   5 229   0],3044.184375000001,443,37,116
216,[  4   7 229   0],4775.765625000004,441,37,135
217,[  7   9 138   0],6434.5093750000015,353,42,139
218,[ 6  5 18  0],4350.550000000003,232,40,121
219,[  5   4 169   0],4165.51875,382,49,192
220,[  6   7 177   0],4325.631250000001,391,41,126
221,[6 1 7 0],3651.421875000001,221,47,210
222,[  6   6 210   0],2972.193750000001,424,54,153
223,[ 7  6 19  0],4187.309375000003,234,42,105
224,[  6   8 105   0],3540.421875000001,319,37,160
225,[  5   1 176   0],5778.437500000002,389,37,238
226,[ 7  8 90  0],3682.609375000001,305,39,134
227,[ 4  8 94  0],6299.662500000003,306,39,161
228,[  5   8 182   0],3435.7562500000013,395,53,165
229,[  5   5 229   0],3760.146875000001,442,49,99
230,[ 7  2 17  0],4837.893750000001,232,43,176
231,[  6   3 182   0],6060.250000000004,396,43,211
232,[  6   9 206   1],540.6468750000001,420,47,110
233,[ 4  1 27  0],5033.921875000002,239,44,191
234,[ 7  9 28  0],4052.046875000002,243,42,137
235,[  4   8 232   0],4815.700000000002,444,45,136
236,[5 3 8 1],1468.5781249999984,221,62,160
237,[6 3 9 0],3574.3531250000015,223,44,185
238,[  7   4 229   0],5584.4781250000015,444,39,198
239,[  7   5 227   0],3221.2812500000005,442,25,101
240,[ 4  9 84  0],5785.206250000003,296,33,133
241,[  5   9 226   0],4161.234375000002,439,45,147
242,[  5   3 232   1],1173.7906250000008,445,49,164
243,[  4   7 229   0],4599.828125000002,441,42,107
244,[4 1 5 0],4289.096875000002,217,38,210
245,[  6   9 107   1],542.8374999999994,321,49,115
246,[  4   1 120   0],5737.9468750000015,332,50,214
247,[ 7  7 14  0],3875.6093750000014,229,22,109
248,[  5   7 228   0],4707.646875000003,441,43,134
249,[  6   7 188   1],1233.7218750000013,402,48,103
250,[ 7  3 73  1],948.2656250000003,288,42,160
251,[  5   4 207   0],4959.971875000004,420,36,193
252,[ 4  6 17  0],4862.137500000003,229,34,151
253,[  4   8 201   1],2029.8875000000007,413,52,140
254,[  5   4 152   0],4855.450000000003,365,35,192
255,[ 7  1 14  0],4683.893750000003,229,42,215
256,[ 7  6 17  1],709.5218750000015,232,48,122
257,[  7   9 187   1],2187.84375,402,42,112
258,[5 1 9 0],5499.331250000003,222,40,196
259,[  4   7 229   0],5409.456250000003,441,39,125
260,[ 7  7 51  0],2983.0156250000014,266,44,109
261,[  4   4 190   0],4851.203125000002,402,47,191
262,[ 5  6 11  0],4197.584375000002,224,59,151
263,[  4   8 228   0],4680.065625000001,440,50,131
264,[  4   6 152   0],5142.006250000001,364,53,122
265,[  4   2 133   0],6356.971875000002,345,44,181
266,[  5   4 231   0],3851.415625000002,444,39,173
267,[  5   4 231   0],6520.565624999999,444,48,220
268,[  5   7 228   0],5798.809375000003,441,40,125
269,[  6   9 137   1],1512.3624999999993,351,42,106
270,[  5   2 233   0],5355.756250000001,446,52,215
271,[  6   2 187   0],4395.471875000001,401,41,176
272,[ 7  8 15  0],5455.4625000000015,230,49,161
273,[  4   5 157   0],5174.643750000001,369,45,171
274,[ 7  8 15  0],3093.281250000001,230,55,137
275,[  6   3 231   0],4672.7125000000015,445,60,187
276,[  7   9 129   1],2187.453125,344,50,106
277,[ 6  5 72  0],5656.428125,286,27,120
278,[  7   4 221   0],4753.996875000002,436,37,191
279,[  6   8 226   0],3996.8968750000004,440,31,130
280,[ 7  5 11  0],4900.281250000001,226,33,119
281,[ 4  2 12  0],4813.993750000002,224,40,205
282,[  5   3 161   0],4702.343750000001,374,30,185
283,[ 6  4 84  0],3181.040625000003,298,41,192
284,[  4   4 184   1],530.90625,396,47,143
285,[ 5  9 95  0],4176.175,308,55,116
286,[  4   6 134   1],1964.1156249999995,346,50,125
287,[  6   9 200   0],6109.378125000003,414,44,133
288,[ 5  1 47  0],5034.868750000001,260,39,174
289,[5 1 7 0],5733.593750000002,220,45,196
290,[  7   5 181   0],4340.575000000002,396,33,143
291,[  6   3 134   0],5270.493750000003,348,44,231
292,[ 6  4 27  0],4862.481250000001,241,41,198
293,[  5   2 130   0],4245.225,343,42,176
294,[  4   6 230   1],132.94374999999962,442,43,98
295,[  5   1 147   0],5775.968749999998,360,43,194
