,id,sent,received,lost
0,0,109,105,4
1,1,102,101,1
2,2,65,65,0
3,3,110,108,2
4,4,79,74,5
5,5,91,90,1
6,6,46,44,2
7,7,60,59,1
8,8,73,72,1
9,9,70,69,1
10,10,36,35,1
11,11,63,61,2
12,12,61,61,0
13,13,87,84,3
14,14,61,61,0
15,15,66,66,0
16,16,85,84,1
17,17,79,74,5
18,18,82,81,1
19,19,94,93,1
20,20,54,53,1
21,21,38,35,3
22,22,61,61,0
