,pop,energy,duration,lost,dead
0,[  4   4 125   0],40666.569218750046,425,178,100000000000000
1,[ 6  4 54  0],39848.90968750009,422,166,100000000000000
2,[  4   4 150   0],40594.28353125005,398,226,100000000000000
3,[  7   4 135   0],40276.56290625005,264,189,100000000000000
4,[5 4 8 0],41258.147156250045,443,192,100000000000000
5,[  6   4 230   0],40602.94662500005,336,223,100000000000000
6,[ 6  4 10  0],40539.46215625003,376,156,100000000000000
7,[  4   4 232   0],39847.785687500065,241,197,100000000000000
8,[ 6  4 47  0],39902.88321875,299,174,100000000000000
9,[  5   4 154   0],40389.938656250066,342,206,100000000000000
10,[  5   3 232   0],40408.385031250036,364,230,100000000000000
11,[  7   4 229   0],39680.383187500054,388,176,100000000000000
12,[6 4 9 0],40776.998718750016,368,190,100000000000000
13,[  7   4 229   0],40495.27112500004,377,228,100000000000000
14,[  4   4 232   0],39761.52265625004,349,177,100000000000000
15,[  5   3 231   0],39598.20571875005,275,173,100000000000000
16,[5 4 9 0],39579.81981250003,384,180,100000000000000
17,[  7   4 229   0],40053.17862500002,318,167,100000000000000
18,[  7   4 119   0],39437.39918750004,282,173,100000000000000
19,[  4   4 185   0],41153.961906250035,398,181,100000000000000
20,[  6   4 181   0],41255.759437500055,345,163,100000000000000
21,[4 4 8 0],39905.09928125003,242,190,100000000000000
22,[5 4 9 0],40333.75650000005,242,176,100000000000000
23,[  7   4 101   0],41454.93084375005,303,169,100000000000000
24,[  4   4 232   0],39616.856593750024,375,197,100000000000000
25,[  6   4 178   0],41451.956281250015,338,172,100000000000000
26,[  5   4 147   0],40510.08137500005,278,165,100000000000000
27,[  4   4 232   0],40819.26518750006,408,151,100000000000000
28,[  4   4 232   0],41351.78931250003,276,165,100000000000000
29,[  5   4 185   0],40457.705000000016,384,169,100000000000000
30,[  6   4 230   0],41159.01715625005,352,184,100000000000000
31,[ 6  4 16  0],40484.44896875005,373,173,100000000000000
32,[ 6  3 11  0],41330.72834375002,371,180,100000000000000
33,[ 7  4 32  0],41402.63021875004,422,186,100000000000000
34,[  4   4 181   0],39830.49400000007,364,205,100000000000000
35,[  6   4 230   0],39245.238843750085,286,217,100000000000000
36,[  7   4 230   0],40652.27612500006,347,228,100000000000000
37,[ 7  4 11  0],39610.59565625003,311,183,100000000000000
38,[ 5  4 77  0],40816.66850000002,425,197,100000000000000
39,[4 4 8 0],40506.865906250045,267,163,100000000000000
40,[  6   4 141   0],41335.555093750016,260,177,100000000000000
41,[  4   4 146   0],40700.278093750014,388,142,100000000000000
42,[ 5  4 45  0],40815.75084375004,278,147,100000000000000
43,[ 5  4 11  0],40511.82471875005,253,201,100000000000000
44,[  4   4 143   0],41314.66043750006,271,161,100000000000000
45,[ 5  4 12  0],40628.60343750006,264,158,100000000000000
46,[  6   4 230   0],40397.13571875005,402,232,100000000000000
47,[  5   4 168   0],39608.531718750055,304,193,100000000000000
48,[  7   4 231   0],40784.078062500026,246,174,100000000000000
49,[  5   4 231   0],40532.42418750003,313,197,100000000000000
50,[  4   4 170   0],41196.99775000002,251,191,100000000000000
51,[  6   4 199   0],40673.956281250066,243,209,100000000000000
52,[  7   4 229   0],40036.18812500003,307,150,100000000000000
53,[ 6  4 57  0],39759.312781250024,237,179,100000000000000
54,[ 7  4 69  0],41231.419812500026,445,165,100000000000000
55,[  4   4 232   0],40371.34356250006,411,188,100000000000000
56,[  5   4 216   0],40681.79834375002,289,214,100000000000000
57,[ 6  4 79  0],40677.94846875004,236,213,100000000000000
58,[ 4  4 15  0],41324.11150000002,331,165,100000000000000
59,[ 4  4 28  0],41240.89940625002,375,164,100000000000000
60,[  6   4 231   0],39853.60275000005,280,217,100000000000000
61,[  7   4 172   0],40578.98715625,393,156,100000000000000
62,[6 4 8 0],39407.327343750054,238,212,100000000000000
63,[  6   4 169   0],40391.56106250004,447,245,100000000000000
64,[  6   3 217   0],40668.17909375005,380,153,100000000000000
65,[  5   4 149   0],39561.38990625005,342,194,100000000000000
66,[  5   4 218   0],40390.56943750008,246,216,100000000000000
67,[5 4 9 0],40654.841406250074,228,233,100000000000000
68,[ 6  3 10  0],40522.29012500003,327,223,100000000000000
69,[ 7  4 56  0],39238.688281250055,323,192,100000000000000
70,[  6   4 232   0],40355.43409375005,268,175,100000000000000
71,[  6   4 171   0],41251.45378125002,224,185,100000000000000
72,[ 7  4 10  0],41359.14593750001,237,173,100000000000000
73,[ 7  4 10  0],39888.04828125007,332,187,100000000000000
74,[  5   4 231   0],39588.01343750004,299,188,100000000000000
75,[  4   4 211   0],40811.27465625003,352,212,100000000000000
76,[  7   4 166   0],40370.38625000003,437,218,100000000000000
77,[4 4 9 0],40495.38843750005,374,210,100000000000000
78,[  5   4 231   0],39602.16925000002,280,185,100000000000000
79,[  5   4 231   0],40402.85593750005,373,245,100000000000000
80,[  5   4 182   0],41321.20465625002,329,180,100000000000000
81,[  7   4 146   0],40328.65437500005,352,196,100000000000000
82,[  4   4 232   0],40366.47690625006,318,206,100000000000000
83,[  5   4 231   0],40747.59778125004,385,146,100000000000000
84,[ 5  4 75  0],39627.58018750001,295,207,100000000000000
85,[  5   4 212   0],39427.24096875006,336,205,100000000000000
86,[ 5  4 21  0],40404.36456250002,355,241,100000000000000
87,[  5   4 234   0],40452.931281250014,371,145,100000000000000
88,[ 7  4 11  0],39750.66981250003,307,175,100000000000000
89,[ 6  4 43  0],40796.574187500046,288,205,100000000000000
90,[5 4 8 0],40477.71100000003,337,196,100000000000000
91,[  5   4 176   0],41326.437750000034,444,173,100000000000000
92,[  6   4 162   0],39424.65803125002,289,194,100000000000000
93,[  7   4 123   0],41347.36268750002,375,177,100000000000000
94,[ 7  4 45  0],40378.92331250003,334,218,100000000000000
95,[ 7  4 58  0],41355.84778125004,382,179,100000000000000
96,[ 6  4 68  0],39876.376031250074,241,170,100000000000000
97,[5 4 9 0],40536.085968750034,295,230,100000000000000
98,[  7   4 231   0],39905.78162500001,388,187,100000000000000
99,[ 7  4 16  0],39406.28281250002,292,165,100000000000000
100,[  4   3 211   1],40572.26415625006,423,235,100000000000000
101,[  7   4 130   1],40658.75043750005,345,211,100000000000000
102,[ 5  8 77  0],40726.255125000025,290,144,100000000000000
103,[  7   8 135   0],40791.107843750025,350,185,100000000000000
104,[  5   2 233   0],41445.38909375002,446,149,100000000000000
105,[  4   3 123   0],41347.546531250046,335,155,100000000000000
106,[  4   7 109   0],40497.945687500054,321,174,100000000000000
107,[ 4  8 29  1],39751.554500000064,241,198,100000000000000
108,[  4   7 148   0],40479.96190625006,360,164,100000000000000
109,[  6   3 165   1],40511.92209375005,379,204,100000000000000
110,[  4   5 149   0],40261.116156250064,361,162,100000000000000
111,[ 4  9 82  0],40829.29812500007,294,143,100000000000000
112,[  6   3 231   1],40672.971093750006,445,202,100000000000000
113,[ 6  2 63  1],40534.82375000003,277,226,100000000000000
114,[5 1 8 0],41305.77353125004,221,176,100000000000000
115,[ 6  6 31  1],39387.65993750006,245,187,100000000000000
116,[  7   8 169   1],39900.16568750003,384,170,100000000000000
117,[ 6  3 96  1],40511.115781250075,310,226,100000000000000
118,[ 6  5 69  1],39407.46896875003,283,200,100000000000000
119,[ 4  8 12  0],40562.42487500006,224,134,100000000000000
120,[  4   2 227   1],40426.67146875008,439,226,100000000000000
121,[ 7  4 98  1],40672.28171875003,313,217,100000000000000
122,[  7   6 227   0],40355.21343750006,442,163,100000000000000
123,[  6   3 111   1],40665.79484375002,325,231,100000000000000
124,[  7   5 163   1],39454.70703125004,378,204,100000000000000
125,[  7   4 151   1],40656.53978125007,366,210,100000000000000
126,[  7   5 164   0],40260.96240625005,379,178,100000000000000
127,[  6   2 194   1],40518.90678125006,408,198,100000000000000
128,[  7   3 157   0],41437.323156250044,372,141,100000000000000
129,[  6   6 196   1],39435.65512500007,410,207,100000000000000
130,[  4   8 169   0],40933.77043750001,381,120,100000000000000
131,[  7   4 110   1],40795.325468750074,325,216,100000000000000
132,[ 6  7 13  1],39553.33062500007,227,200,100000000000000
133,[  5   8 133   1],39893.06862500002,346,189,100000000000000
134,[  6   8 144   1],39700.19471875004,358,182,100000000000000
135,[  7   3 104   0],41401.38678125006,319,193,100000000000000
136,[ 5  1 31  1],40388.16159375003,244,237,100000000000000
137,[ 5  6 59  0],40271.81540625006,272,158,100000000000000
138,[  4   2 137   1],40429.358281250075,349,236,100000000000000
139,[  5   1 116   1],40388.240812500015,329,223,100000000000000
140,[  4   4 232   0],41511.493218750045,444,171,100000000000000
141,[ 5  4 29  1],40797.27240625003,242,192,100000000000000
142,[  7   7 126   1],39540.056343750046,341,221,100000000000000
143,[  5   7 228   1],39751.21765625003,441,185,100000000000000
