,t1,t2,t3,t4,energy,old duration,lost,dead,duration
2334,7,3,175,0,39009.88321875007,390,337,100000000000000,185
2335,7,3,184,0,39010.061500000025,399,313,100000000000000,194
2336,6,4,89,0,39010.235250000056,303,353,100000000000000,99
2337,7,4,229,0,39010.4279062501,444,361,100000000000000,240
2338,4,4,147,0,39010.742406250094,359,388,100000000000000,155
2339,5,4,9,0,39011.3632187501,222,382,100000000000000,18
2340,4,4,9,0,39011.441000000115,221,294,100000000000000,17
2341,6,3,72,0,39011.69218750007,286,338,100000000000000,81
2342,6,4,200,0,39011.76746875009,414,339,100000000000000,210
2343,4,3,12,0,39011.884812500066,224,313,100000000000000,19
2344,7,4,229,0,39011.891312500135,444,282,100000000000000,240
2345,6,4,86,0,39011.949375000135,300,376,100000000000000,96
2346,6,4,217,0,39012.21771875013,431,349,100000000000000,227
2347,4,4,81,0,39012.30643750009,293,335,100000000000000,89
2348,5,4,54,0,39012.33843750011,267,345,100000000000000,63
2349,5,3,232,0,39012.394437500065,445,321,100000000000000,240
2350,5,4,231,0,39012.4687187501,444,347,100000000000000,240
2351,5,3,133,0,39012.741656250066,346,306,100000000000000,141
2352,4,4,109,0,39012.89878125013,321,329,100000000000000,117
2353,6,3,62,0,39013.23981250005,276,336,100000000000000,71
2354,4,4,232,0,39013.33693750009,444,340,100000000000000,240
2355,4,4,177,0,39013.44425000009,389,331,100000000000000,185
2356,6,4,81,0,39013.46134375014,295,350,100000000000000,91
2357,4,4,8,0,39013.53706250011,220,335,100000000000000,16
2358,4,4,232,0,39013.690781250065,444,321,100000000000000,240
2359,7,4,145,0,39013.86209375013,360,358,100000000000000,156
2360,7,4,128,0,39014.064531250086,343,330,100000000000000,139
2361,5,4,231,0,39014.725562500134,444,343,100000000000000,240
2362,6,4,225,0,39014.73312500013,439,334,100000000000000,235
2363,5,4,16,0,39015.08303125012,229,383,100000000000000,25
2364,5,4,12,0,39015.5210312501,225,346,100000000000000,21
2365,7,3,230,0,39015.801562500026,445,330,100000000000000,240
2366,6,4,13,0,39015.98903125015,227,345,100000000000000,23
2367,6,4,10,0,39016.319187500114,224,346,100000000000000,20
2368,4,4,87,0,39016.477312500065,299,336,100000000000000,95
2369,6,4,10,0,39016.478812500114,224,373,100000000000000,20
2370,7,4,12,0,39016.74606250011,227,344,100000000000000,23
2371,5,4,186,0,39017.25409375009,399,320,100000000000000,195
2372,6,4,230,0,39017.2577812501,444,350,100000000000000,240
2373,5,4,62,0,39017.583437500136,275,326,100000000000000,71
2374,5,4,150,0,39017.600062500096,363,333,100000000000000,159
2375,4,4,117,0,39017.64928125011,329,393,100000000000000,125
2376,5,4,167,0,39018.145593750094,380,320,100000000000000,176
2377,5,4,99,0,39018.15553125013,312,360,100000000000000,108
2378,4,4,72,0,39018.18603125014,284,356,100000000000000,80
2379,5,4,9,0,39018.22040625015,222,349,100000000000000,18
2380,6,4,141,0,39018.72196875005,355,347,100000000000000,151
2381,6,4,194,0,39018.726000000075,408,323,100000000000000,204
2382,7,4,66,0,39019.1898437501,281,339,100000000000000,77
2383,4,4,87,0,39019.312187500094,299,304,100000000000000,95
2384,6,4,122,0,39019.9875000001,336,334,100000000000000,132
2385,7,4,11,0,39020.05971875012,226,360,100000000000000,22
2386,7,3,115,0,39020.594343750075,330,325,100000000000000,125
2387,6,4,212,0,39020.960968750085,426,348,100000000000000,222
2388,6,4,230,0,39021.28590625009,444,348,100000000000000,240
2389,4,4,232,0,39021.51546875008,444,324,100000000000000,240
2390,7,3,42,0,39021.65959375004,257,331,100000000000000,52
2391,4,4,157,0,39021.680437500116,369,368,100000000000000,165
2392,5,4,23,0,39021.689937500116,236,299,100000000000000,32
2393,6,4,205,0,39021.762906250064,419,351,100000000000000,215
2394,7,4,229,0,39022.159031250114,444,312,100000000000000,240
2395,7,4,44,0,39022.377562500114,259,382,100000000000000,55
2396,6,4,139,0,39022.56159375015,353,338,100000000000000,149
2397,5,4,217,0,39022.7181250001,430,352,100000000000000,226
2398,6,4,197,0,39022.979187500125,411,358,100000000000000,207
2399,5,4,187,0,39023.06875000014,400,361,100000000000000,196
2400,6,4,10,0,39023.6688750001,224,348,100000000000000,20
2401,5,4,123,0,39024.39262500011,336,354,100000000000000,132
2402,4,4,220,0,39024.4217812501,432,321,100000000000000,228
2403,4,4,229,0,39025.196937500135,441,341,100000000000000,237
2404,7,3,7,0,39025.62496875002,222,335,100000000000000,17
2405,4,4,188,0,39025.76721875009,400,338,100000000000000,196
2406,5,4,231,0,39025.787062500094,444,335,100000000000000,240
2407,5,4,108,0,39025.795468750075,321,337,100000000000000,117
2408,4,4,14,0,39025.99228125012,226,313,100000000000000,22
2409,6,4,10,0,39026.2463437501,224,332,100000000000000,20
2410,4,4,213,0,39026.2882812501,425,332,100000000000000,221
2411,4,4,8,0,39026.60071875015,220,326,100000000000000,16
2412,6,4,14,0,39026.76625000009,228,356,100000000000000,24
2413,7,4,229,0,39026.85465625013,444,323,100000000000000,240
