,id,sent,received,lost
0,0,1046,1005,41
1,1,651,630,21
2,2,238,226,12
3,3,1230,1229,1
4,4,235,226,9
5,5,746,721,25
6,6,317,305,12
7,7,920,906,14
8,8,879,863,16
9,9,640,620,20
10,10,230,214,16
11,11,611,611,0
12,12,327,316,11
13,13,535,516,19
14,14,324,316,8
15,15,371,368,3
16,16,1525,1491,34
17,17,322,316,6
18,18,1399,1366,33
19,19,448,426,22
20,20,226,217,9
21,21,416,414,2
22,22,431,422,9
