,pop,energy,duration,lost,dead
0,[5 4 9 0],38722.68606250006,246,329,100000000000000
1,[  4   4 232   0],35261.06490625004,247,353,100000000000000
2,[  6   4 101   0],36626.84790625012,253,324,100000000000000
3,[  7   4 231   0],38800.85196875014,393,336,100000000000000
4,[ 4  4 70  0],38777.47478125005,249,337,100000000000000
5,[5 4 9 0],37407.61109375012,433,407,100000000000000
6,[ 6  4 10  0],35520.14756250015,413,371,100000000000000
7,[  5   4 102   0],37757.36425000011,350,306,100000000000000
8,[  7   4 229   0],38686.641593750086,312,352,100000000000000
9,[  7   4 229   0],38306.98400000002,342,350,100000000000000
10,[  4   4 102   0],35500.02125000013,328,392,100000000000000
11,[ 6  4 26  0],38522.36550000003,240,347,100000000000000
12,[ 6  4 13  0],37540.62425000014,389,277,100000000000000
13,[  4   4 175   0],35744.889531250126,381,370,100000000000000
14,[  5   4 167   0],36881.83912500014,442,355,100000000000000
15,[  6   4 148   0],37061.59612500011,282,357,100000000000000
16,[  5   4 231   0],35205.85009375009,389,410,100000000000000
17,[  6   4 230   0],36607.395718750115,251,315,100000000000000
18,[  6   4 185   0],38146.43378125002,416,246,100000000000000
19,[4 4 8 0],38425.0937812501,317,409,100000000000000
20,[ 5  4 35  0],35855.97621875006,426,333,100000000000000
21,[  6   4 230   0],34799.6330625001,243,388,100000000000000
22,[  7   4 172   0],39287.43568750005,387,301,100000000000000
23,[ 5  4 32  0],36895.18743750012,266,321,100000000000000
24,[  6   3 224   0],35598.60006250006,393,346,100000000000000
25,[  4   4 161   0],35494.18946875014,429,352,100000000000000
26,[ 7  4 10  0],36940.88743750004,349,274,100000000000000
27,[ 5  4 11  0],37142.25887500018,260,443,100000000000000
28,[  5   4 228   0],38223.238468750074,241,378,100000000000000
29,[  7   4 229   0],34572.219968750054,298,443,100000000000000
30,[  6   4 136   0],37116.69175000012,239,292,100000000000000
31,[  6   3 190   0],37533.81915625013,426,311,100000000000000
32,[ 6  4 10  0],38746.75162500012,327,357,100000000000000
33,[  5   4 168   0],34929.04234375,379,383,100000000000000
34,[  7   4 229   0],38962.73640625005,279,297,100000000000000
35,[ 4  4 11  0],39098.4421562501,246,348,100000000000000
36,[ 7  4 37  0],38913.17628125013,315,369,100000000000000
37,[6 4 9 0],37916.14325000004,367,259,100000000000000
38,[ 6  4 31  0],37414.16281250007,303,395,100000000000000
39,[ 5  4 74  0],37672.80981250004,410,260,100000000000000
40,[ 6  4 26  0],34510.55275000009,395,407,100000000000000
41,[ 4  4 11  0],36938.639812500165,436,414,100000000000000
42,[  4   4 232   0],38672.2613750001,313,323,100000000000000
43,[  4   4 126   0],35234.355281250115,302,348,100000000000000
44,[  4   4 195   0],37565.43946875015,231,303,100000000000000
45,[  7   4 104   0],35482.59553125014,436,401,100000000000000
46,[  7   4 115   0],36830.80971875008,243,434,100000000000000
47,[  7   4 217   0],35175.96193750018,364,369,100000000000000
48,[ 6  4 21  0],38502.8498125001,271,355,100000000000000
49,[ 7  4 11  0],36846.49350000012,358,449,100000000000000
50,[  5   4 207   0],36648.553250000135,379,325,100000000000000
51,[ 7  4 76  0],37542.91046875014,352,303,100000000000000
52,[  5   4 191   0],34573.254312500125,298,380,100000000000000
53,[  7   4 229   0],38544.712406250066,404,362,100000000000000
54,[ 5  4 58  0],38849.6998437501,390,350,100000000000000
55,[ 7  4 26  0],37031.330750000096,433,314,100000000000000
56,[ 6  4 30  0],36616.643125000104,398,332,100000000000000
57,[  5   4 192   0],37411.80775000013,369,450,100000000000000
58,[  6   4 127   0],35186.709406250164,426,380,100000000000000
59,[  5   4 187   0],37365.35668750011,286,269,100000000000000
60,[  5   4 204   0],37729.21775000004,354,251,100000000000000
61,[  6   3 146   0],35222.55318750011,247,406,100000000000000
62,[  5   4 230   0],37385.56046875009,333,405,100000000000000
63,[ 6  4 10  0],37506.57868750017,287,291,100000000000000
64,[  7   4 229   0],34900.27009375001,285,393,100000000000000
65,[ 6  4 10  0],34575.8254375001,260,396,100000000000000
66,[  5   4 229   0],38146.77925000001,360,244,100000000000000
67,[  5   4 231   0],36925.569656250125,390,397,100000000000000
68,[  6   4 230   0],38738.92640625015,343,353,100000000000000
69,[5 4 9 0],37110.6792500001,366,420,100000000000000
70,[ 6  4 65  0],38957.1400937501,369,345,100000000000000
71,[ 4  4 87  0],34925.07634375008,390,380,100000000000000
72,[  5   4 126   0],35765.75871875013,408,359,100000000000000
73,[ 4  4 10  0],34938.84206250002,287,389,100000000000000
74,[5 4 9 0],34919.298437500125,256,352,100000000000000
75,[  5   4 150   0],36121.917562500064,361,343,100000000000000
76,[ 6  4 35  0],36847.81396875011,431,429,100000000000000
77,[4 4 8 0],37927.04184375005,238,247,100000000000000
78,[  7   4 198   0],35515.57221875011,348,368,100000000000000
79,[ 7  4 72  0],35252.97587500003,348,368,100000000000000
80,[  5   4 200   0],34875.730062500086,336,368,100000000000000
81,[ 6  4 39  0],37539.69143750011,398,290,100000000000000
82,[ 7  4 12  0],36166.86553125002,248,305,100000000000000
83,[ 6  4 95  0],36857.79196875009,338,458,100000000000000
84,[ 6  4 87  0],37423.20678125016,423,455,100000000000000
85,[  4   4 162   0],35577.113281250044,357,362,100000000000000
86,[  4   4 203   0],34898.87643750015,267,374,100000000000000
87,[  4   4 125   0],38945.08743750007,307,327,100000000000000
88,[ 5  4 85  0],38476.068812500096,438,341,100000000000000
89,[  5   4 231   0],38143.09021875001,240,236,100000000000000
90,[ 4  4 54  0],38704.3586562501,255,334,100000000000000
91,[ 6  4 30  0],37168.86218750015,265,441,100000000000000
