,pop,energy,duration,lost,dead
0,[  5   1 211   0],43397.00806250001,178,37,100000000000000
1,[  4   4 121   0],43233.74171875001,77,51,100000000000000
2,[  6   1 233   0],43277.828031250014,127,40,100000000000000
3,[  1   3 232   0],43240.51534375003,265,62,100000000000000
4,[ 5  4 59  0],43279.68496875002,199,59,100000000000000
5,[  4   4 158   0],43056.55628125003,142,48,100000000000000
6,[  1   4 168   0],43234.19746875001,195,45,100000000000000
7,[  6   4 230   0],43134.17709375001,226,49,100000000000000
8,[2 4 6 0],43237.952156250016,190,42,100000000000000
9,[  4   4 111   0],43263.10700000002,143,34,100000000000000
10,[4 4 8 0],43231.05600000003,61,48,100000000000000
11,[2 4 6 0],43299.09434375002,115,48,100000000000000
12,[  2   3 156   0],43292.780281250016,127,43,100000000000000
13,[  3   4 194   0],43425.62834375002,48,46,100000000000000
14,[  5   4 208   0],43396.30915625001,86,44,100000000000000
15,[  6   4 230   0],43063.20553125002,136,41,100000000000000
16,[  7   3 201   0],43077.97456250002,137,58,100000000000000
17,[5 3 8 0],43245.513625000014,175,43,100000000000000
18,[3 4 7 0],43151.75425000001,219,42,100000000000000
19,[2 4 5 0],43261.88793750001,97,45,100000000000000
20,[  4   4 136   0],43394.95793750003,52,50,100000000000000
21,[6 3 9 0],43270.97537500003,239,52,100000000000000
22,[ 6  4 88  0],43310.90875000002,124,38,100000000000000
23,[  3   3 230   0],43268.40468750001,94,47,100000000000000
24,[ 5  4 69  0],43293.04237500002,145,44,100000000000000
25,[  7   4 157   0],43121.01896875001,237,55,100000000000000
26,[  5   4 191   0],43226.28218750001,192,36,100000000000000
27,[ 5  2 31  0],43271.114187500025,254,40,100000000000000
28,[  7   4 136   0],43291.52593750002,175,36,100000000000000
29,[3 4 9 0],43271.32109375002,232,55,100000000000000
30,[ 7  4 23  0],43299.202937500006,236,45,100000000000000
31,[  4   1 168   0],43126.514531250024,134,52,100000000000000
32,[  4   1 232   0],43093.12075000002,92,54,100000000000000
33,[5 4 9 0],43086.044500000025,130,51,100000000000000
34,[  7   4 145   0],43401.65921875002,51,57,100000000000000
35,[  5   4 231   0],43429.97837500002,244,55,100000000000000
36,[2 4 6 0],43280.90481250002,201,65,100000000000000
37,[  3   4 222   0],43445.35584375001,203,45,100000000000000
38,[1 4 5 0],43240.15868750003,67,54,100000000000000
39,[  6   4 230   0],43423.23550000001,127,39,100000000000000
40,[5 4 9 0],43254.210375,109,36,100000000000000
41,[4 4 8 0],43253.546312500024,72,56,100000000000000
42,[1 4 5 0],43053.28075000002,185,45,100000000000000
43,[  1   4 153   0],43228.76921875003,121,56,100000000000000
44,[5 4 9 0],43197.10881250001,94,52,100000000000000
45,[6 1 6 0],43150.456156250024,197,46,100000000000000
46,[2 4 6 0],43276.71684375002,153,52,100000000000000
47,[5 4 9 0],43249.009812500015,173,55,100000000000000
48,[ 5  4 54  0],43189.56875000001,103,42,100000000000000
49,[3 4 7 0],43089.97165625002,223,38,100000000000000
50,[  6   4 230   0],43387.455593750026,101,45,100000000000000
51,[ 5  4 61  0],43092.797656250026,155,47,100000000000000
52,[ 7  4 11  0],43062.17175000002,221,61,100000000000000
53,[ 7  4 11  0],43105.53471875004,199,50,100000000000000
54,[  7   4 162   0],43232.65496875002,57,47,100000000000000
55,[3 3 8 0],43097.56215625003,221,47,100000000000000
56,[  3   4 120   0],43262.45890625002,138,48,100000000000000
57,[  2   3 170   0],43277.96390625001,141,43,100000000000000
58,[ 4  4 30  0],43233.67621875003,79,67,100000000000000
59,[1 4 5 0],43238.125562500005,160,55,100000000000000
60,[  4   4 101   0],43282.427187500034,96,47,100000000000000
61,[  4   4 153   0],43412.89287500002,189,48,100000000000000
62,[  5   4 135   0],43189.18168750001,195,46,100000000000000
63,[  3   3 169   0],43389.855218750025,264,53,100000000000000
64,[5 4 9 0],43380.18128125002,100,52,100000000000000
65,[ 1  4 67  0],43240.85878125002,88,61,100000000000000
66,[ 6  4 39  0],43241.36112500001,158,56,100000000000000
67,[  7   4 232   0],43282.044218750016,139,64,100000000000000
68,[ 3  3 11  0],43407.57293750003,71,38,100000000000000
69,[  6   3 165   0],43120.04503125002,76,61,100000000000000
70,[  3   4 148   0],43094.859000000004,131,46,100000000000000
71,[ 3  4 10  0],43221.15262500001,204,40,100000000000000
72,[ 7  3 10  0],43091.88878125002,247,53,100000000000000
73,[5 4 9 0],43281.71234375001,92,57,100000000000000
74,[2 3 5 0],43139.61312500002,89,52,100000000000000
75,[1 4 5 0],43391.81528125001,270,60,100000000000000
76,[  3   3 214   0],43287.09171875003,54,56,100000000000000
77,[6 3 9 0],43063.61646875002,102,54,100000000000000
78,[2 4 6 0],43416.09350000003,216,50,100000000000000
79,[ 7  3 10  0],43330.38831250002,165,34,100000000000000
80,[ 4  3 78  0],43066.92071875002,172,52,100000000000000
81,[  5   4 231   0],43271.29478125001,109,34,100000000000000
82,[  4   4 232   0],43262.67390625001,237,35,100000000000000
83,[  5   3 232   0],43388.65971875,118,51,100000000000000
84,[3 2 6 0],43237.080312500024,227,62,100000000000000
85,[ 7  4 11  0],43158.819250000015,207,56,100000000000000
86,[  5   4 109   0],43432.38393750001,146,63,100000000000000
87,[  3   4 209   0],43387.858625000015,208,54,100000000000000
88,[  5   4 217   0],43273.280437500034,211,48,100000000000000
89,[  7   4 175   0],43203.10596875002,219,47,100000000000000
90,[1 4 2 0],43240.30625000001,171,49,100000000000000
91,[3 1 4 0],43152.96365625002,108,46,100000000000000
92,[ 5  4 63  0],43242.312656250026,258,59,100000000000000
93,[5 3 8 0],43194.08606250002,121,43,100000000000000
94,[4 4 8 0],43233.22987500002,175,63,100000000000000
95,[ 5  1 23  0],43254.36837500001,215,55,100000000000000
96,[5 4 8 0],43114.173500000026,206,60,100000000000000
97,[ 5  4 61  0],43277.53025000002,184,48,100000000000000
98,[  4   3 233   0],43057.854281250016,111,47,100000000000000
99,[  2   4 230   0],43205.358750000014,54,38,100000000000000
100,[ 3  5 20  0],43201.82875000003,55,25,100000000000000
101,[ 3  3 22  1],43259.96953125002,57,64,100000000000000
102,[  6   2 170   1],43230.81475000003,208,57,100000000000000
103,[  4   5 231   0],43207.74868750001,267,40,100000000000000
104,[  7   1 198   1],43239.31253125003,237,55,100000000000000
105,[ 4  5 34  1],43025.95390625002,70,48,100000000000000
106,[  5   2 175   1],43232.44500000002,212,63,100000000000000
107,[  6   3 142   1],43265.105781250015,180,53,100000000000000
108,[  6   5 166   0],43190.927562500015,204,43,100000000000000
109,[ 4  7 40  0],43268.53312500001,76,45,100000000000000
110,[  7   9 123   1],43144.09021875001,162,33,100000000000000
111,[  7   9 163   1],43174.04990625001,202,56,100000000000000
112,[  3   3 174   1],43270.814093750014,209,61,100000000000000
113,[  6   4 230   0],43411.46909375001,268,49,100000000000000
114,[  6   4 192   0],43398.14090625001,230,47,100000000000000
115,[ 6  9 15  1],43165.11546875002,53,40,100000000000000
116,[  6   7 227   0],43262.84150000001,265,42,100000000000000
117,[  7   5 183   0],43207.13834375001,222,42,100000000000000
118,[  7   5 155   1],43022.46196875004,194,49,100000000000000
119,[  5   5 230   1],43026.78140625002,267,54,100000000000000
120,[ 4  6 15  0],43237.01100000001,51,37,100000000000000
121,[3 1 4 1],43239.58290625002,39,48,100000000000000
122,[  5   3 232   1],43250.33003125002,269,48,100000000000000
123,[ 6  6 51  0],43249.51206250002,89,43,100000000000000
124,[  7   9 135   1],43137.961531250025,174,39,100000000000000
125,[  3   3 112   1],43265.84412500001,147,55,100000000000000
126,[  4   2 107   0],43385.297250000025,143,47,100000000000000
127,[  7   2 231   0],43359.52571875001,270,42,100000000000000
128,[2 7 9 0],43272.768468750015,43,47,100000000000000
129,[  4   8 188   1],43124.73181250003,224,39,100000000000000
130,[  4   8 144   1],43123.15206250001,180,56,100000000000000
131,[ 6  7 96  1],43096.97731250002,134,51,100000000000000
132,[6 1 7 1],43239.161312500015,45,54,100000000000000
133,[  5   6 211   1],43048.987843750016,248,54,100000000000000
134,[  7   3 229   1],43254.08415625002,268,51,100000000000000
135,[ 4  7 11  0],43253.37853125001,47,47,100000000000000
136,[  6   6 194   1],43064.70146875002,232,62,100000000000000
137,[  4   2 190   0],43373.66221875001,226,58,100000000000000
138,[ 7  8 30  0],43281.33100000002,69,48,100000000000000
139,[  7   6 214   1],43064.47587500003,253,49,100000000000000
140,[  6   6 228   0],43258.97490625002,266,39,100000000000000
141,[ 6  2 40  0],43369.05471875001,78,57,100000000000000
142,[  5   2 200   1],43227.27240625002,237,66,100000000000000
143,[ 4  6 33  1],43066.33925000002,69,50,100000000000000
144,[  7   8 161   1],43122.96600000003,200,35,100000000000000
145,[ 6  4 70  0],43408.568531250006,108,39,100000000000000
146,[  4   4 102   0],43412.30928125001,138,63,100000000000000
147,[  6   2 108   1],43220.41340625002,146,64,100000000000000
148,[2 6 8 0],43237.14268750002,42,40,100000000000000
149,[ 4  7 14  1],43106.799687500024,50,56,100000000000000
150,[ 3  2 64  1],43229.91809375003,99,59,100000000000000
151,[ 7  3 86  1],43257.44650000003,125,61,100000000000000
152,[  6   3 182   0],43375.978375000035,220,47,100000000000000
153,[  5   9 177   1],43154.94584375002,214,55,100000000000000
154,[  4   4 187   1],43278.70000000001,223,57,100000000000000
155,[  7   6 215   1],43064.39300000002,254,46,100000000000000
156,[4 1 7 1],43240.37212500002,43,56,100000000000000
157,[  5   7 170   0],43292.26068750001,207,44,100000000000000
158,[  7   4 229   0],43393.16746875001,268,38,100000000000000
159,[ 4  5 56  0],43216.052312500025,92,54,100000000000000
160,[3 6 9 1],43052.13115625002,44,52,100000000000000
161,[ 4  6 10  0],43258.25871875002,46,52,100000000000000
162,[  7   2 221   0],43416.502781250005,260,44,100000000000000
163,[  7   3 217   1],43258.33953125002,256,60,100000000000000
164,[ 6  3 99  1],43268.59396875002,137,57,100000000000000
165,[ 2  9 11  1],43164.91771875002,45,39,100000000000000
166,[ 6  6 47  1],43063.93921875002,85,54,100000000000000
167,[ 5  4 53  1],43278.34521875003,90,55,100000000000000
168,[  4   1 120   1],43235.79303125003,156,48,100000000000000
169,[  6   3 165   0],43427.27312500002,203,48,100000000000000
170,[  5   8 227   1],43132.18856250003,264,45,100000000000000
171,[  4   3 130   0],43407.06065625001,166,41,100000000000000
172,[ 4  9 13  1],43146.98465625002,49,49,100000000000000
173,[ 5  2 80  1],43236.79415625003,117,66,100000000000000
174,[ 5  2 88  1],43241.19193750003,125,49,100000000000000
175,[ 5  1 59  1],43239.987343750014,96,54,100000000000000
176,[ 4  4 56  0],43406.02596875002,92,37,100000000000000
177,[4 3 7 1],43270.10790625002,43,69,100000000000000
178,[  6   6 228   0],43218.29681250001,266,44,100000000000000
179,[ 6  8 71  0],43265.989062500004,109,40,100000000000000
180,[  5   2 186   1],43234.35728125001,223,68,100000000000000
181,[ 4  1 73  1],43222.66603125003,109,51,100000000000000
182,[  2   9 107   0],43328.19637500001,141,42,100000000000000
183,[ 3  6 81  0],43289.63318750001,116,31,100000000000000
184,[  6   4 190   1],43282.62837500002,228,61,100000000000000
185,[  7   3 205   1],43251.94640625003,244,47,100000000000000
186,[  5   9 225   0],43339.31296875002,262,34,100000000000000
187,[  4   9 119   1],43184.42590625002,155,47,100000000000000
188,[  7   7 173   1],43090.97375000002,212,56,100000000000000
189,[  6   5 164   1],43054.81087500002,202,51,100000000000000
190,[  5   6 153   0],43238.640437500006,190,36,100000000000000
191,[ 4  1 73  0],43390.39565625,109,47,100000000000000
192,[ 2  9 11  0],43353.24190625001,45,39,100000000000000
193,[1 4 5 1],43281.857843750025,38,55,100000000000000
194,[  6   8 119   0],43303.27856250002,157,45,100000000000000
195,[  7   6 182   0],43272.79390625,221,44,100000000000000
196,[  5   4 115   0],43398.46575000002,152,48,100000000000000
197,[  5   9 143   0],43332.04150000001,180,36,100000000000000
198,[ 2  7 74  1],43100.63421875002,108,53,100000000000000
199,[ 2  9 11  1],43167.38418750001,45,49,100000000000000
200,[  6   3 115   0],43360.10153125003,153,42,100000000000000
201,[ 2  4 90  1],43278.866343750014,124,54,100000000000000
202,[  5   1 128   1],43241.50184375002,165,56,100000000000000
203,[  5   7 228   1],43099.25187500002,265,50,100000000000000
204,[ 4  9 13  1],43164.55468750001,49,42,100000000000000
