,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,5,4,231,0,43953.999085937496,259,64,100000000000000,240
1,4,4,232,0,43954.64052499999,307,37,100000000000000,240
2,5,5,25,1,43954.76096249998,194,53,100000000000000,35
3,5,5,17,1,43954.8288984375,186,52,100000000000000,27
4,4,4,71,0,43954.9625625,253,54,100000000000000,79
5,4,5,231,1,43955.02708281248,399,57,100000000000000,240
6,6,4,128,0,43955.099121874984,372,50,100000000000000,138
7,7,5,31,1,43955.1518875,202,43,100000000000000,43
8,5,3,232,0,43955.222385937486,217,60,100000000000000,240
9,7,5,67,1,43955.530342187514,238,43,100000000000000,79
10,5,2,233,0,43955.5736578125,211,43,100000000000000,240
11,7,5,75,1,43955.81983437501,246,61,100000000000000,87
12,4,6,225,1,43955.9271765625,393,69,100000000000000,235
13,6,5,152,1,43956.107020312484,322,51,100000000000000,163
14,6,6,213,1,43956.19953281248,383,42,100000000000000,225
15,5,2,233,0,43956.39318125,268,52,100000000000000,240
16,4,6,89,1,43956.460701562515,257,55,100000000000000,99
17,6,5,183,1,43956.493304687516,353,48,100000000000000,194
18,6,3,67,0,43956.637325,374,63,100000000000000,76
19,6,4,10,0,43956.71915624999,312,39,100000000000000,20
20,6,5,127,1,43956.7304109375,297,53,100000000000000,138
21,4,6,10,1,43956.7452609375,178,41,100000000000000,20
22,5,5,10,1,43956.767034374985,179,53,100000000000000,20
23,5,4,232,0,43956.7714078125,331,51,100000000000000,241
24,7,3,113,0,43956.81075312498,306,49,100000000000000,123
25,5,5,113,1,43956.91289218749,282,43,100000000000000,123
26,5,6,181,1,43957.14976249998,350,47,100000000000000,192
27,6,4,10,0,43957.29915,390,45,100000000000000,20
28,6,6,29,1,43957.33954375,199,43,100000000000000,41
29,5,4,9,0,43957.56204062499,201,34,100000000000000,18
30,5,7,12,1,43957.84221874998,181,45,100000000000000,24
31,5,6,229,1,43958.0099109375,398,44,100000000000000,240
32,6,7,227,1,43958.01922812501,397,36,100000000000000,240
33,4,6,30,1,43958.03022499999,198,51,100000000000000,40
34,4,4,232,0,43958.077876562515,279,52,100000000000000,240
35,4,7,12,1,43958.09071406251,180,47,100000000000000,23
36,7,6,227,1,43958.11636874999,398,51,100000000000000,240
37,7,7,160,1,43958.136525,331,35,100000000000000,174
38,6,7,124,1,43958.18355156248,294,61,100000000000000,137
39,4,7,97,1,43958.2155578125,265,64,100000000000000,108
40,6,6,41,1,43958.31190624998,211,50,100000000000000,53
41,5,7,106,1,43958.39124062502,275,45,100000000000000,118
42,6,6,12,1,43958.455065624985,182,40,100000000000000,24
43,5,7,87,1,43958.581175000014,256,56,100000000000000,99
44,5,4,9,0,43958.78916249998,180,45,100000000000000,18
45,4,4,67,0,43958.879323437504,280,56,100000000000000,75
