,t1,t2,t3,t4,energy,old duration,lost,dead,duration
1277,5,3,166,0,43700.23670312498,335,40,100000000000000,174
1278,4,2,63,0,43700.24492187498,231,51,100000000000000,69
1279,6,2,28,0,43700.26784374999,198,52,100000000000000,36
1280,4,4,93,0,43700.272109374986,261,50,100000000000000,101
1281,7,2,231,0,43700.30901562497,402,39,100000000000000,240
1282,6,2,115,0,43700.32399999998,285,37,100000000000000,123
1283,7,2,188,0,43700.33462499997,359,49,100000000000000,197
1284,5,4,9,0,43700.34487499998,178,60,100000000000000,18
1285,4,4,8,0,43700.34617187498,304,56,100000000000000,16
1286,4,3,233,0,43700.35143749999,401,53,100000000000000,240
1287,5,3,49,0,43700.378093749976,218,50,100000000000000,57
1288,5,2,208,0,43700.40754687497,377,64,100000000000000,215
1289,5,2,7,0,43700.42287499998,176,65,100000000000000,14
1290,4,2,6,0,43700.44467187498,174,63,100000000000000,12
1291,6,4,233,0,43700.45428124998,403,49,100000000000000,243
1292,7,2,231,0,43700.461203124985,402,60,100000000000000,240
1293,5,3,212,0,43700.46974999998,381,57,100000000000000,220
1294,7,3,10,0,43700.47326562498,181,56,100000000000000,20
1295,4,2,170,0,43700.47795312498,338,57,100000000000000,176
1296,4,2,214,0,43700.489249999984,382,51,100000000000000,220
1297,6,2,134,0,43700.493687499984,304,58,100000000000000,142
1298,6,4,198,0,43700.50528124998,368,48,100000000000000,208
1299,5,2,157,0,43700.51559374999,326,59,100000000000000,164
1300,7,3,192,0,43700.549890624985,363,48,100000000000000,202
1301,6,1,233,0,43700.59096874998,403,47,100000000000000,240
1302,5,3,232,0,43700.61596874998,401,54,100000000000000,240
1303,6,4,145,0,43700.63031249998,315,35,100000000000000,155
1304,6,4,10,0,43700.64599999999,180,50,100000000000000,20
1305,4,2,231,0,43700.67387499997,399,55,100000000000000,237
1306,6,1,7,0,43700.72646874999,177,42,100000000000000,14
1307,5,2,233,0,43700.72867187498,402,46,100000000000000,240
1308,4,4,8,0,43700.751156249986,176,56,100000000000000,16
1309,5,4,231,0,43700.75343749998,400,67,100000000000000,240
1310,7,1,232,0,43700.756609374985,403,58,100000000000000,240
1311,5,1,234,0,43700.76193749998,403,56,100000000000000,240
1312,4,4,196,0,43700.76218749998,364,64,100000000000000,204
1313,5,4,231,0,43700.76943749998,400,61,100000000000000,240
1314,7,4,169,0,43700.771249999976,340,46,100000000000000,180
1315,7,1,232,0,43700.77428124998,403,57,100000000000000,240
1316,4,3,7,0,43700.780078124975,175,56,100000000000000,14
1317,6,2,144,0,43700.78132812497,314,47,100000000000000,152
1318,4,3,233,0,43700.78392187498,401,53,100000000000000,240
1319,7,2,9,0,43700.78995312498,180,49,100000000000000,18
1320,4,3,231,0,43700.79796874998,399,52,100000000000000,238
1321,6,3,201,0,43700.83314062498,371,45,100000000000000,210
1322,5,3,147,0,43700.858046874986,316,53,100000000000000,155
1323,6,3,109,0,43700.87804687498,279,57,100000000000000,118
1324,4,4,232,0,43700.911921874984,400,68,100000000000000,240
1325,6,4,90,0,43700.913765625,260,53,100000000000000,100
1326,4,1,205,0,43700.930874999984,373,50,100000000000000,210
1327,5,3,8,0,43700.948703124974,177,53,100000000000000,16
1328,7,2,186,0,43700.980421874985,357,73,100000000000000,195
1329,5,3,98,0,43700.98235937497,267,44,100000000000000,106
1330,7,2,115,0,43701.01782812498,286,43,100000000000000,124
1331,4,1,221,0,43701.01974999999,389,53,100000000000000,226
1332,4,3,230,0,43701.04426562499,398,51,100000000000000,237
1333,4,3,142,0,43701.05856249999,310,53,100000000000000,149
1334,7,3,86,0,43701.06299999999,257,49,100000000000000,96
1335,6,3,9,0,43701.084328124976,179,56,100000000000000,18
1336,6,3,153,0,43701.08654687498,323,58,100000000000000,162
1337,6,4,233,0,43701.099625,403,50,100000000000000,243
1338,7,2,152,0,43701.15239062498,323,57,100000000000000,161
1339,4,3,165,0,43701.17593749998,333,48,100000000000000,172
1340,6,3,231,0,43701.251187499984,401,55,100000000000000,240
1341,4,2,205,0,43701.254249999976,373,49,100000000000000,211
1342,6,2,11,0,43701.26774999999,181,45,100000000000000,19
1343,5,1,32,0,43701.28054687498,201,57,100000000000000,38
1344,6,2,232,0,43701.28415624998,402,42,100000000000000,240
1345,4,4,127,0,43701.29693749999,295,51,100000000000000,135
1346,4,2,180,0,43701.331624999984,348,50,100000000000000,186
1347,5,2,71,0,43701.34673437499,240,63,100000000000000,78
1348,5,1,54,0,43701.35495312498,223,44,100000000000000,60
1349,6,1,73,0,43701.39635937498,243,40,100000000000000,80
1350,4,2,138,0,43701.42314062498,306,58,100000000000000,144
1351,6,1,11,0,43701.42726562499,181,49,100000000000000,18
1352,5,3,88,0,43701.44567187498,257,50,100000000000000,96
1353,5,4,43,0,43701.446140625,212,49,100000000000000,52
1354,7,2,231,0,43701.449375,402,52,100000000000000,240
1355,6,1,23,0,43701.45671874998,193,50,100000000000000,30
1356,4,4,173,0,43701.47064062498,341,38,100000000000000,181
1357,5,2,147,0,43701.49396874999,316,47,100000000000000,154
1358,4,2,103,0,43701.52501562498,271,57,100000000000000,109
1359,7,4,157,0,43701.558671874984,328,46,100000000000000,168
1360,4,4,8,0,43701.562390624975,176,56,100000000000000,16
1361,5,2,7,0,43701.56446874999,176,53,100000000000000,14
1362,5,2,185,0,43701.59885937498,354,57,100000000000000,192
1363,6,4,54,0,43701.60106249998,224,47,100000000000000,64
1364,6,2,119,0,43701.60765624999,289,58,100000000000000,127
1365,4,3,27,0,43701.619968749976,195,48,100000000000000,34
1366,7,2,10,0,43701.65596874998,181,47,100000000000000,19
1367,5,2,89,0,43701.67384374999,258,50,100000000000000,96
1368,5,2,136,0,43701.67874999998,305,46,100000000000000,143
1369,5,2,146,0,43701.75245312499,315,57,100000000000000,153
1370,5,4,23,0,43701.78154687498,192,39,100000000000000,32
1371,7,3,116,0,43701.79260937498,287,48,100000000000000,126
1372,4,1,231,0,43701.808234374985,399,54,100000000000000,236
1373,6,2,232,0,43701.8135,402,51,100000000000000,240
1374,7,3,147,0,43701.82809374997,318,44,100000000000000,157
1375,5,2,133,0,43701.82948437498,302,49,100000000000000,140
1376,5,2,231,0,43701.84409374998,400,54,100000000000000,238
1377,7,1,8,0,43701.84451562499,179,49,100000000000000,16
1378,6,2,232,0,43701.86103124998,402,41,100000000000000,240
1379,4,2,181,0,43701.90460937497,349,47,100000000000000,187
1380,4,3,169,0,43701.90756249998,337,56,100000000000000,176
1381,5,1,68,0,43701.91490624998,237,47,100000000000000,74
1382,5,1,232,0,43701.93381249998,401,44,100000000000000,238
1383,5,2,150,0,43701.94054687498,319,55,100000000000000,157
1384,5,2,233,0,43701.98948437498,402,53,100000000000000,240
1385,6,3,200,0,43702.024203125,370,46,100000000000000,209
1386,6,3,152,0,43702.05387499998,322,53,100000000000000,161
1387,5,2,183,0,43702.07354687497,352,45,100000000000000,190
1388,4,3,168,0,43702.07754687498,336,44,100000000000000,175
1389,5,3,8,0,43702.08673437498,177,51,100000000000000,16
1390,5,2,223,0,43702.10215624999,392,54,100000000000000,230
1391,5,3,171,0,43702.13923437498,340,48,100000000000000,179
1392,7,3,10,0,43702.14921874998,181,39,100000000000000,20
1393,6,1,233,0,43702.15290624998,403,42,100000000000000,240
1394,4,2,227,0,43702.1629375,395,49,100000000000000,233
1395,6,2,8,0,43702.17587499998,178,61,100000000000000,16
1396,6,4,168,0,43702.1896875,338,65,100000000000000,178
1397,5,1,6,0,43702.19264062498,175,40,100000000000000,12
1398,7,1,232,0,43702.2131875,403,48,100000000000000,240
1399,6,2,211,0,43702.24385937498,381,42,100000000000000,219
1400,6,3,90,0,43702.24467187498,260,44,100000000000000,99
1401,4,4,187,0,43702.26151562499,355,55,100000000000000,195
1402,7,3,230,0,43702.266718749976,401,57,100000000000000,240
1403,6,4,10,0,43702.29242187498,180,51,100000000000000,20
1404,5,2,104,0,43702.33865624997,273,50,100000000000000,111
1405,4,3,130,0,43702.346546874986,298,50,100000000000000,137
1406,7,3,68,0,43702.346640624986,239,43,100000000000000,78
1407,4,4,211,0,43702.349515624985,379,57,100000000000000,219
1408,7,2,231,0,43702.350984374985,402,49,100000000000000,240
1409,4,3,8,0,43702.36353124998,176,60,100000000000000,15
1410,6,2,12,0,43702.383078124985,182,47,100000000000000,20
1411,6,3,55,0,43702.38446874997,225,57,100000000000000,64
1412,6,3,232,0,43702.38899999998,402,68,100000000000000,241
1413,5,3,181,0,43702.404,350,55,100000000000000,189
1414,5,4,231,0,43702.41649999999,400,55,100000000000000,240
1415,5,4,228,0,43702.42917187499,397,45,100000000000000,237
1416,5,2,60,0,43702.44929687498,229,39,100000000000000,67
1417,4,2,62,0,43702.45145312497,230,54,100000000000000,68
1418,6,3,21,0,43702.45585937496,191,42,100000000000000,30
1419,6,2,8,0,43702.47342187498,178,63,100000000000000,16
1420,6,2,79,0,43702.492437499975,249,45,100000000000000,87
1421,6,2,37,0,43702.510640624976,207,59,100000000000000,45
1422,6,2,103,0,43702.537109374985,273,56,100000000000000,111
1423,5,2,15,0,43702.541312499976,184,47,100000000000000,22
1424,7,4,154,0,43702.55682812498,325,51,100000000000000,165
1425,6,2,190,0,43702.58453125,360,36,100000000000000,198
1426,6,3,230,0,43702.58604687499,400,50,100000000000000,239
1427,6,2,142,0,43702.589609375,312,44,100000000000000,150
1428,6,3,198,0,43702.60059374998,368,54,100000000000000,207
