,pop,energy,duration,lost,dead
105,[ 6  4 68  0],43418.21528125002,106,44,100000000000000
106,[  5   2 173   1],43238.77978125002,210,74,100000000000000
107,[  3   1 214   0],43400.77093750001,249,36,100000000000000
108,[  7   8 118   1],43114.43365625003,157,43,100000000000000
109,[  6   5 210   1],43078.18137500003,248,46,100000000000000
110,[  6   2 233   1],43249.42193750002,271,55,100000000000000
111,[  7   6 108   1],43067.677656250016,147,62,100000000000000
112,[  7   3 184   1],43253.92115625003,223,49,100000000000000
113,[  6   9 146   0],43329.30590625002,184,43,100000000000000
114,[ 5  5 89  0],43205.62775000001,126,41,100000000000000
115,[  4   2 104   1],43220.00965625003,140,58,100000000000000
116,[ 6  3 23  1],43241.849218750016,61,46,100000000000000
117,[ 6  7 38  1],43078.51359375002,76,50,100000000000000
118,[  7   6 133   0],43272.17478125001,172,49,100000000000000
119,[  5   6 145   1],43064.38765625001,182,46,100000000000000
120,[  5   6 129   0],43229.65856250001,166,40,100000000000000
121,[  5   7 163   1],43125.082343750044,200,45,100000000000000
122,[  7   9 224   0],43307.71118750001,263,39,100000000000000
123,[ 3  9 46  0],43350.52703125001,81,47,100000000000000
124,[  4   1 234   0],43404.14850000002,270,50,100000000000000
125,[  6   6 180   1],43054.24975000002,218,55,100000000000000
126,[ 5  3 13  1],43249.280562500026,50,61,100000000000000
127,[ 7  4 84  0],43428.35340625001,123,56,100000000000000
128,[ 3  1 47  0],43416.75265625001,82,50,100000000000000
129,[  6   1 112   0],43378.12421875001,150,52,100000000000000
130,[  4   9 107   0],43285.0308125,143,39,100000000000000
131,[  3   7 204   1],43103.20271875002,239,51,100000000000000
132,[ 7  5 90  0],43249.49859375002,129,46,100000000000000
133,[  3   4 187   0],43406.86556250002,222,36,100000000000000
134,[ 5  9 14  0],43352.48037500001,51,37,100000000000000
135,[  6   1 233   0],43377.82359375003,271,56,100000000000000
136,[ 3  9 12  0],43321.96125000001,47,38,100000000000000
137,[ 7  1 23  0],43392.286312500015,62,60,100000000000000
138,[  7   1 112   0],43401.03165625,151,42,100000000000000
139,[ 5  3 67  1],43258.73193750002,104,65,100000000000000
140,[  6   1 126   0],43393.99465625001,164,55,100000000000000
141,[  3   2 221   1],43254.79090625003,256,55,100000000000000
142,[  2   7 174   1],43099.494750000034,208,41,100000000000000
143,[  6   5 196   0],43235.26825000002,234,52,100000000000000
144,[ 4  4 85  0],43405.82965625001,121,43,100000000000000
145,[  2   4 107   0],43423.46378125002,141,44,100000000000000
146,[ 5  5 64  0],43222.41984375002,101,45,100000000000000
147,[  3   3 168   1],43265.737218750015,203,55,100000000000000
148,[  6   7 170   1],43062.86037500002,208,48,100000000000000
149,[  3   2 235   0],43414.28503125001,270,63,100000000000000
150,[ 6  9 98  0],43308.76159375002,136,40,100000000000000
151,[ 3  3 29  0],43415.89021875002,64,45,100000000000000
152,[7 2 9 0],43409.99062500003,48,51,100000000000000
153,[ 5  9 14  1],43156.28356250002,51,50,100000000000000
154,[4 4 8 1],43280.38950000003,44,62,100000000000000
155,[ 3  8 11  0],43290.74481250002,46,40,100000000000000
156,[  5   4 193   0],43426.05575,230,42,100000000000000
157,[ 6  2 94  1],43223.67178125002,132,55,100000000000000
158,[3 4 7 0],43404.07975000002,42,56,100000000000000
159,[  2   3 219   1],43280.18315625002,253,62,100000000000000
160,[  5   2 112   0],43373.918937500006,149,57,100000000000000
161,[  7   4 168   1],43280.929562500016,207,56,100000000000000
162,[ 6  9 15  0],43292.38521875001,53,46,100000000000000
163,[ 5  7 38  0],43276.99084375001,75,32,100000000000000
164,[ 3  1 81  1],43241.01115625002,116,65,100000000000000
165,[  7   9 191   1],43163.89706250001,230,47,100000000000000
166,[ 4  5 37  0],43208.742843750006,73,50,100000000000000
167,[  6   9 135   1],43151.38287500003,173,46,100000000000000
168,[ 3  8 41  0],43268.94928125001,76,44,100000000000000
169,[  2   7 112   0],43243.594781250016,146,42,100000000000000
170,[ 7  6 68  0],43215.32468750001,107,50,100000000000000
171,[  7   4 183   0],43415.930718750016,222,40,100000000000000
172,[ 7  4 94  1],43276.12331250003,133,48,100000000000000
173,[ 4  4 65  0],43418.31693750003,101,52,100000000000000
174,[  7   4 126   1],43284.99850000002,165,55,100000000000000
175,[ 2  4 67  0],43429.933218750026,101,35,100000000000000
176,[  7   9 215   1],43149.18478125002,254,51,100000000000000
177,[  6   3 205   1],43242.660093750026,243,57,100000000000000
178,[  3   3 225   0],43379.36603125001,260,43,100000000000000
179,[  4   8 136   0],43274.039312500005,172,38,100000000000000
180,[  5   5 193   1],43050.37878125003,230,45,100000000000000
181,[  4   5 136   0],43204.91206250002,172,43,100000000000000
182,[ 6  9 50  0],43311.03106250002,88,46,100000000000000
183,[  3   3 140   0],43441.918625000006,175,58,100000000000000
184,[ 7  5 79  0],43242.3671875,118,40,100000000000000
185,[  6   3 165   0],43395.348250000025,203,43,100000000000000
186,[  5   7 148   0],43248.250718750016,185,43,100000000000000
187,[  7   1 232   0],43388.45121875003,271,41,100000000000000
188,[ 6  6 12  0],43227.709125000016,50,31,100000000000000
189,[  7   9 132   0],43307.793093750006,171,51,100000000000000
190,[  2   2 193   0],43384.60168750001,227,61,100000000000000
191,[2 6 8 1],43061.231062500025,42,43,100000000000000
192,[  5   7 138   0],43310.818718750015,175,36,100000000000000
193,[ 6  9 54  1],43169.59600000002,92,53,100000000000000
194,[ 7  9 16  0],43319.49950000002,55,43,100000000000000
195,[ 4  5 71  0],43229.288062500025,107,36,100000000000000
196,[  2   3 225   1],43254.89740625003,259,56,100000000000000
197,[ 7  8 12  0],43332.26756250001,51,34,100000000000000
198,[ 7  7 43  0],43283.844125,82,47,100000000000000
199,[ 1  5 15  0],43206.30203125001,48,44,100000000000000
200,[  4   8 219   0],43309.282500000016,255,48,100000000000000
201,[  5   2 233   0],43377.888843750006,270,54,100000000000000
202,[  5   6 114   1],43094.996156250025,151,57,100000000000000
203,[  5   8 222   0],43261.92687500001,259,27,100000000000000
204,[ 5  9 76  1],43175.803468750026,113,43,100000000000000
205,[  6   7 171   1],43089.453437500015,209,51,100000000000000
206,[ 7  9 16  1],43173.63912500001,55,65,100000000000000
207,[ 7  5 92  0],43231.24087500002,131,45,100000000000000
208,[  3   5 215   0],43201.45259375002,250,42,100000000000000
209,[  6   4 230   1],43281.02340625003,268,56,100000000000000
210,[ 5  1 71  0],43377.915437500014,108,48,100000000000000
211,[ 7  6 13  1],43072.74843750001,52,58,100000000000000
212,[  5   3 115   0],43410.30006250002,152,60,100000000000000
213,[  6   9 199   0],43317.692343750015,237,41,100000000000000
214,[ 3  3 80  1],43241.698125000024,115,42,100000000000000
215,[ 7  5 56  0],43199.827375000015,95,44,100000000000000
216,[  4   4 214   0],43435.391562500015,250,40,100000000000000
217,[ 6  3 88  1],43246.95750000003,126,61,100000000000000
218,[  5   5 230   0],43192.28096875003,267,44,100000000000000
219,[ 1  6 12  1],43054.43340625001,45,52,100000000000000
220,[ 5  1 45  0],43380.22362500002,82,41,100000000000000
221,[ 7  3 16  1],43253.64568750003,55,51,100000000000000
222,[1 5 6 1],43036.46803125001,39,56,100000000000000
223,[ 1  2 13  0],43395.696875000016,46,58,100000000000000
224,[  1   4 216   0],43432.74428125002,249,54,100000000000000
225,[ 3  2 34  1],43219.26662500002,69,55,100000000000000
226,[  5   6 160   1],43068.69696875002,197,47,100000000000000
227,[ 3  7 99  0],43270.67212500001,134,36,100000000000000
228,[ 6  1 47  0],43381.937281250015,85,53,100000000000000
229,[ 2  6 18  0],43227.064500000015,52,36,100000000000000
230,[ 6  5 70  0],43223.260875000014,108,29,100000000000000
231,[ 5  7 61  0],43238.718062500026,98,48,100000000000000
232,[ 5  8 72  0],43281.873625000015,109,43,100000000000000
233,[  4   4 232   0],43409.48868750003,268,61,100000000000000
234,[  2   2 149   0],43389.59993750002,183,51,100000000000000
235,[  3   7 104   0],43230.58834375002,139,34,100000000000000
236,[  2   9 229   1],43151.12787500001,263,48,100000000000000
237,[  2   1 195   0],43419.872968750016,229,46,100000000000000
238,[ 5  6 37  0],43228.121562500026,74,48,100000000000000
239,[  4   7 218   0],43268.86887500001,254,36,100000000000000
240,[  5   8 186   0],43306.714406250016,223,44,100000000000000
241,[ 3  8 11  0],43279.87421875002,46,42,100000000000000
242,[  7   1 122   1],43237.90893750002,161,69,100000000000000
243,[4 3 7 0],43408.007843750034,43,40,100000000000000
244,[ 5  2 85  0],43425.307218750015,122,57,100000000000000
245,[ 4  7 11  0],43309.13209375001,47,32,100000000000000
246,[ 7  8 15  1],43129.18906250003,54,52,100000000000000
247,[  5   4 232   0],43393.504437500014,269,49,100000000000000
248,[  2   7 139   0],43239.08506250002,173,51,100000000000000
249,[  6   8 181   0],43275.68262500001,219,42,100000000000000
250,[ 6  4 66  0],43404.20737500002,104,43,100000000000000
251,[ 3  4 53  1],43297.005468750016,88,56,100000000000000
252,[  2   2 231   0],43353.62228125002,265,44,100000000000000
253,[  5   3 141   0],43396.45212500002,178,45,100000000000000
254,[ 4  4 71  0],43425.38606250002,107,60,100000000000000
255,[ 3  2 11  1],43239.91440625002,46,59,100000000000000
256,[  2   2 165   0],43388.57828125002,199,61,100000000000000
257,[3 2 5 0],43372.315437500016,40,41,100000000000000
258,[  7   3 110   0],43380.265562500026,149,56,100000000000000
259,[ 7  7 62  0],43261.82121875,101,48,100000000000000
260,[ 7  6 32  1],43059.98756250003,71,50,100000000000000
261,[ 7  4 11  0],43443.197312500015,50,45,100000000000000
262,[ 7  4 15  1],43266.06981250003,54,50,100000000000000
263,[4 4 8 0],43402.93509375002,44,38,100000000000000
264,[  6   3 127   0],43394.25640625001,165,45,100000000000000
265,[  4   1 196   0],43396.21490625001,232,42,100000000000000
266,[  4   1 130   0],43392.55196875001,166,41,100000000000000
267,[ 3  3 31  0],43385.88950000002,66,39,100000000000000
268,[  4   9 174   1],43158.72125000002,210,52,100000000000000
269,[  2   7 137   0],43251.12331250002,171,37,100000000000000
270,[  5   3 110   1],43252.657781250025,147,60,100000000000000
271,[ 4  1 72  1],43239.94140625002,108,49,100000000000000
272,[  4   7 167   1],43122.71531250002,203,52,100000000000000
273,[ 4  3 80  0],43407.00318750001,116,52,100000000000000
274,[ 5  5 34  0],43204.61040625001,71,47,100000000000000
275,[  5   3 162   0],43375.97793750002,199,51,100000000000000
276,[  7   9 213   0],43362.16334375002,252,40,100000000000000
277,[ 6  8 40  0],43303.42178125002,78,50,100000000000000
278,[  6   7 227   0],43271.46937500002,265,44,100000000000000
279,[ 6  3 37  1],43261.97925000002,75,44,100000000000000
280,[ 7  2 56  0],43396.214218750014,95,52,100000000000000
281,[  1   2 192   0],43392.93115625001,225,72,100000000000000
282,[  4   1 144   0],43384.93871875002,180,47,100000000000000
283,[  1   6 140   0],43255.69025000001,173,52,100000000000000
284,[ 4  8 12  1],43133.916656250025,48,53,100000000000000
285,[ 7  4 55  0],43427.485843750015,94,48,100000000000000
286,[ 5  6 55  0],43212.35962500002,92,44,100000000000000
287,[ 7  4 11  0],43431.71150000003,50,52,100000000000000
288,[  5   6 211   0],43244.67881250002,248,42,100000000000000
289,[  5   6 110   0],43264.93250000001,147,43,100000000000000
290,[  4   4 193   0],43457.61878125001,229,39,100000000000000
291,[  6   5 173   0],43216.72865625,211,45,100000000000000
292,[ 5  8 93  0],43303.67003125001,130,46,100000000000000
293,[  2   3 235   0],43387.32368750002,269,48,100000000000000
294,[  3   2 147   1],43231.82853125004,182,53,100000000000000
295,[  2   7 104   0],43274.04743750001,138,32,100000000000000
296,[ 1  4 38  0],43419.32721875001,71,42,100000000000000
297,[  7   2 173   0],43383.887687500006,212,56,100000000000000
298,[ 5  4 56  0],43430.27337500001,93,40,100000000000000
299,[6 3 9 0],43389.174781250025,47,47,100000000000000
300,[ 2  6 87  0],43198.31300000001,121,47,100000000000000
301,[  2   3 169   0],43429.42693750001,203,40,100000000000000
302,[  7   2 231   0],43373.69934375002,270,39,100000000000000
303,[  6   5 222   1],43041.423000000024,260,53,100000000000000
304,[  6   3 231   0],43402.40300000001,269,46,100000000000000
305,[  4   2 118   0],43405.25159375003,154,47,100000000000000
306,[  7   3 230   1],43263.05143750001,269,53,100000000000000
307,[2 7 9 0],43259.9585625,43,38,100000000000000
308,[  6   3 231   0],43400.58715625002,269,51,100000000000000
309,[  6   1 233   0],43418.26059375003,271,67,100000000000000
310,[ 6  1 10  0],43416.44021875002,48,58,100000000000000
311,[ 2  7 49  0],43307.70065625,83,51,100000000000000
312,[  6   1 223   0],43426.379156250034,261,41,100000000000000
313,[1 3 4 0],43376.83421875002,37,47,100000000000000
314,[  3   7 153   0],43260.708312500006,188,47,100000000000000
315,[  3   8 204   0],43313.16565625002,239,51,100000000000000
316,[3 4 4 0],43403.83059375002,39,42,100000000000000
317,[  3   4 233   0],43415.47381250002,268,61,100000000000000
318,[ 7  7 46  0],43247.13112500001,85,46,100000000000000
319,[ 5  2 65  0],43374.64562500002,102,52,100000000000000
320,[  4   5 230   0],43236.770718750005,266,40,100000000000000
321,[  3   2 218   0],43388.77775000001,253,54,100000000000000
322,[ 5  9 14  0],43353.40721875001,51,47,100000000000000
323,[4 2 8 0],43372.975625000014,44,68,100000000000000
324,[  1   2 174   0],43369.43090625003,207,49,100000000000000
325,[  5   3 174   0],43409.31634375001,211,49,100000000000000
326,[2 3 5 0],43421.4483125,39,48,100000000000000
327,[ 4  1 31  0],43408.67306250002,67,58,100000000000000
328,[  7   8 225   0],43285.87309375001,264,51,100000000000000
329,[  6   4 112   0],43415.128343750024,150,42,100000000000000
330,[  7   3 213   0],43367.34546875001,252,44,100000000000000
331,[  4   1 235   0],43391.36765625002,271,44,100000000000000
332,[2 3 5 0],43411.60862500003,39,29,100000000000000
333,[2 1 3 1],43233.92421875002,37,58,100000000000000
334,[  6   3 127   0],43382.52165625002,165,43,100000000000000
335,[ 6  1 66  0],43401.66456250003,104,53,100000000000000
336,[ 3  5 65  0],43229.74159375002,100,56,100000000000000
337,[2 2 4 0],43367.03028125003,38,37,100000000000000
338,[ 5  6 11  1],43043.46456250002,48,38,100000000000000
339,[ 7  1 51  0],43393.05434375002,90,46,100000000000000
340,[  7   8 113   0],43298.90931250001,152,49,100000000000000
341,[  2   2 236   0],43392.64228125002,270,34,100000000000000
342,[ 5  3 46  0],43407.53834375002,83,48,100000000000000
343,[  7   7 211   0],43323.35893750001,250,52,100000000000000
344,[  5   2 233   0],43384.702281250014,270,58,100000000000000
345,[  2   4 109   0],43430.099156250006,143,53,100000000000000
346,[ 3  5 81  0],43168.56500000002,116,48,100000000000000
347,[  7   3 230   0],43390.069656250016,269,44,100000000000000
348,[5 3 8 0],43397.291906250015,45,46,100000000000000
349,[2 5 7 0],43224.84353125001,41,47,100000000000000
350,[  5   2 233   0],43408.34546875001,270,56,100000000000000
351,[  5   6 229   1],43083.74834375001,266,57,100000000000000
352,[  7   1 132   0],43379.19671875002,171,46,100000000000000
353,[  3   3 234   0],43404.676750000006,269,53,100000000000000
354,[  4   4 232   0],43413.31900000001,268,50,100000000000000
355,[ 3  1 16  0],43390.76387500002,51,59,100000000000000
356,[  4   6 230   0],43253.305187500024,266,50,100000000000000
357,[ 2  4 80  0],43441.74000000002,114,53,100000000000000
358,[ 7  2 31  0],43392.16728125001,70,57,100000000000000
359,[7 2 9 0],43394.63959375002,48,49,100000000000000
360,[ 5  8 13  0],43263.34256250001,50,40,100000000000000
361,[  5   1 230   0],43393.37706250002,267,53,100000000000000
362,[  5   1 197   0],43390.52653125002,234,52,100000000000000
363,[ 2  2 49  0],43370.15846875001,83,52,100000000000000
364,[2 2 4 0],43385.73556250001,38,52,100000000000000
365,[ 3  1 19  0],43403.76906250002,54,53,100000000000000
366,[3 2 5 0],43377.54668750002,40,46,100000000000000
367,[  3   2 131   0],43401.18475000002,166,40,100000000000000
