,t1,t2,t3,t4,energy,old duration,lost,dead,duration
2568,4,4,116,0,19723.182499999995,328,27,100000000000000,124
2569,6,4,10,0,19723.183062499997,224,28,100000000000000,20
2570,7,4,204,0,19723.18934375,419,28,100000000000000,215
2571,7,4,229,0,19723.1913125,444,28,100000000000000,240
2572,5,4,107,0,19723.19371875,320,26,100000000000000,116
2573,6,4,45,0,19723.19375,259,31,100000000000000,55
2574,4,4,48,0,19723.1955625,260,27,100000000000000,56
2575,7,4,216,0,19723.200749999996,431,27,100000000000000,227
2576,6,4,131,0,19723.20075,345,29,100000000000000,141
2577,5,4,23,0,19723.20303125,236,25,100000000000000,32
2578,5,4,108,0,19723.204718749992,321,28,100000000000000,117
2579,6,4,67,0,19723.2055625,281,28,100000000000000,77
2580,7,4,50,0,19723.209874999997,265,28,100000000000000,61
2581,5,4,151,0,19723.21215625,364,26,100000000000000,160
2582,7,4,229,0,19723.21381249999,444,26,100000000000000,240
2583,5,4,9,0,19723.214093749993,222,29,100000000000000,18
2584,6,4,203,0,19723.214249999994,417,27,100000000000000,213
2585,6,4,218,0,19723.214999999997,432,31,100000000000000,228
2586,6,4,230,0,19723.21609375,444,29,100000000000000,240
2587,5,4,18,0,19723.216718749994,231,26,100000000000000,27
2588,4,4,62,0,19723.218749999996,274,26,100000000000000,70
2589,5,4,9,0,19723.221093749995,222,27,100000000000000,18
2590,5,4,9,0,19723.223374999994,222,25,100000000000000,18
2591,6,4,230,0,19723.23146875,444,26,100000000000000,240
2592,5,4,227,0,19723.233093749994,440,25,100000000000000,236
2593,7,4,229,0,19723.23490625,444,29,100000000000000,240
2594,6,4,10,0,19723.235187499995,224,30,100000000000000,20
2595,5,4,125,0,19723.238374999994,338,29,100000000000000,134
2596,7,4,229,0,19723.2384375,444,29,100000000000000,240
2597,5,4,9,0,19723.23953125,222,29,100000000000000,18
2598,5,4,42,0,19723.24109374999,255,27,100000000000000,51
2599,6,4,10,0,19723.24806249999,224,27,100000000000000,20
2600,6,4,80,0,19723.253781249994,294,28,100000000000000,90
2601,6,4,164,0,19723.254656249992,378,27,100000000000000,174
2602,6,4,230,0,19723.2555,444,27,100000000000000,240
2603,6,4,189,0,19723.257781249995,403,26,100000000000000,199
2604,7,4,79,0,19723.25803125,294,25,100000000000000,90
2605,6,4,144,0,19723.268593749992,358,28,100000000000000,154
2606,5,4,53,0,19723.269187499995,266,29,100000000000000,62
2607,7,4,51,0,19723.27146875,266,29,100000000000000,62
2608,7,4,9,0,19723.27168749999,224,30,100000000000000,20
2609,5,4,9,0,19723.273749999997,222,28,100000000000000,18
2610,6,4,117,0,19723.273749999997,331,29,100000000000000,127
2611,6,4,130,0,19723.27431249999,344,28,100000000000000,140
2612,6,4,152,0,19723.276593749993,366,29,100000000000000,162
2613,4,4,8,0,19723.2783125,220,29,100000000000000,16
2614,4,4,8,0,19723.280406249996,220,29,100000000000000,16
2615,4,4,111,0,19723.282875,323,30,100000000000000,119
2616,6,4,202,0,19723.283437499995,416,26,100000000000000,212
2617,6,4,230,0,19723.287437499992,444,27,100000000000000,240
2618,6,4,230,0,19723.28971875,444,27,100000000000000,240
2619,4,4,8,0,19723.29990625,377,29,100000000000000,16
2620,6,4,230,0,19723.301124999994,444,27,100000000000000,240
2621,4,4,62,0,19723.301125,274,27,100000000000000,70
2622,7,4,73,0,19723.303406249994,288,28,100000000000000,84
2623,4,4,8,0,19723.30340625,220,29,100000000000000,16
2624,7,4,10,0,19723.305687499997,225,27,100000000000000,21
2625,5,4,54,0,19723.30796875,267,28,100000000000000,63
2626,7,4,227,0,19723.312531249994,442,28,100000000000000,238
2627,4,4,95,0,19723.31253125,307,28,100000000000000,103
2628,5,4,67,0,19723.317062499995,280,27,100000000000000,76
