,id,sent,received,lost
0,0,68,75,-7
1,1,16,16,0
2,2,24,24,0
3,3,36,35,1
4,4,23,23,0
5,5,16,16,0
6,6,23,23,0
7,7,32,30,2
8,8,24,24,0
9,9,31,30,1
10,10,44,43,1
11,11,24,24,0
12,12,20,20,0
13,13,23,23,0
14,14,19,19,0
15,15,23,23,0
16,16,31,31,0
17,17,30,30,0
18,18,35,35,0
19,19,21,21,0
20,20,30,29,1
21,21,28,28,0
22,22,22,22,0
23,23,31,31,0
24,24,24,24,0
25,25,21,21,0
26,26,39,39,0
27,27,15,15,0
28,28,14,14,0
29,29,23,23,0
30,30,34,33,1
31,31,24,24,0
32,32,19,19,0
