,t1,t2,t3,t4,energy,old duration,lost,dead,duration
84,7,9,16,0,45986.306204781285,28318,0,100000000000000,32
85,3,4,6800,1,45986.3116634063,21819,0,100000000000000,6807
86,7,9,15177,0,45986.346383718796,20797,0,100000000000000,15193
87,4,6,12,0,45986.34897975005,15032,0,100000000000000,22
88,7,6,3559,0,45986.3804009063,18582,0,100000000000000,3572
89,5,4,7064,1,45986.388978562536,22085,0,100000000000000,7073
90,5,5,10,1,45986.419950750045,15031,0,100000000000000,20
91,4,6,10,0,45986.43038321881,15030,0,100000000000000,20
92,7,6,1177,0,45986.46784225005,21660,0,100000000000000,1190
93,4,7,10696,1,45986.5851655938,25716,0,100000000000000,10707
94,6,2,392,0,45986.6308174063,15414,0,100000000000000,400
95,6,1,2502,0,45986.70979218755,17524,0,100000000000000,2509
96,7,9,15609,0,45986.72242893755,19803,0,100000000000000,15625
97,4,4,15119,1,45986.81506984379,30139,0,100000000000000,15127
98,6,2,15617,1,45986.844604812555,30639,0,100000000000000,15625
99,4,7,7587,1,45986.868980000036,22607,0,100000000000000,7598
100,5,5,1614,0,45986.8700179688,16635,0,100000000000000,1624
101,4,4,15617,0,45986.9159658438,30637,0,100000000000000,15625
102,3,8,11,0,45986.95463500006,15030,0,100000000000000,22
103,2,8,11807,0,45987.01462393754,26825,0,100000000000000,11817
104,5,7,8612,1,45987.03689006254,23633,0,100000000000000,8624
105,2,9,4739,1,45987.07401000004,19757,0,100000000000000,4750
106,7,6,15612,0,45987.11587200004,30635,0,100000000000000,15625
107,3,9,12965,1,45987.1319074063,27984,0,100000000000000,12977
108,5,6,2310,1,45987.14589750004,17331,0,100000000000000,2321
109,4,7,15149,0,45987.21234509379,30169,0,100000000000000,15160
110,5,4,9,0,45987.214057218785,15030,0,100000000000000,18
111,3,8,15614,1,45987.26834643754,30633,0,100000000000000,15625
112,5,6,11,0,45987.273253062536,15032,0,100000000000000,22
113,4,9,13,1,45987.27917081254,15033,0,100000000000000,26
114,7,7,14,0,45987.29318350005,15037,0,100000000000000,28
