,pop,energy,duration,lost,dead
0,[ 7  7 44  0],45985.79845065626,73,0,100000000000000
1,[  7   7 196   0],45998.52641281243,235,0,100000000000000
2,[  7   6 227   0],45954.59292746887,196,0,100000000000000
3,[  7   6 171   0],45998.5279100937,167,0,100000000000000
4,[ 7  6 13  0],45998.40980293745,84,0,100000000000000
5,[ 7  8 36  0],45998.509450593694,75,0,100000000000000
6,[ 7  2 83  1],45954.43045200013,122,0,100000000000000
7,[  7   6 203   1],45998.41081618745,242,0,100000000000000
8,[ 7  8 15  1],45998.40668790619,54,0,100000000000000
9,[ 7  6 13  0],45998.5386650937,52,0,100000000000000
10,[ 7  7 44  0],45998.5368807812,83,0,100000000000000
11,[  7   8 196   1],45998.406287156206,235,0,100000000000000
12,[ 7  7 14  0],45998.50474628119,53,0,100000000000000
13,[ 7  7 14  0],45998.51520349994,53,0,100000000000000
14,[  7   8 152   0],45998.514015281195,191,0,100000000000000
15,[  7   6 195   0],45998.51766921869,234,0,100000000000000
16,[ 7  8 39  0],45998.50802021869,78,0,100000000000000
17,[ 7  5 67  0],45998.0583484062,106,0,100000000000000
18,[  7   6 171   0],45998.53365503119,210,0,100000000000000
19,[  7   6 172   0],45998.51277621869,211,0,100000000000000
20,[  7   6 195   0],45998.50987037494,234,0,100000000000000
21,[  7   5 115   0],45998.13117012494,154,0,100000000000000
22,[  7   6 227   0],45998.52873746868,266,0,100000000000000
23,[  7   7 215   0],45998.52911424994,254,0,100000000000000
24,[ 7  7 14  0],45998.532304218694,53,0,100000000000000
25,[ 7  5 81  0],45998.149188968695,120,0,100000000000000
26,[  7   5 228   0],45998.12490699995,267,0,100000000000000
27,[ 7  7 70  0],45998.516249843684,109,0,100000000000000
28,[ 7  7 14  0],45998.52665309369,53,0,100000000000000
29,[  7   6 227   0],45998.50971906244,266,0,100000000000000
